You are allowed to use the hotel is swimming pool .	你 有权 使用 旅馆 的 游泳池 .
I read the book after I had finished my homework .	我 做 完 我 的 功课 后 ,   就读 这 本书 .
President Lincoln was what we call a self @-@ made man .	林肯 總統 就是 我們 所謂 白手起家 的 男人 .
Like father , like son .	有其父必有其子 .
The captain is responsible for the safety of passengers .	船长 要 为 乘客 安全 负责 .
When I heard that song , it reminded me of when I was a kid .	我 聽到 那首歌 時 ,   它 讓 我 想起 了 我 小 的 時候 .
The clock has stopped .	時鐘 已經 停止 了 .
Even Tom does not do that anymore .	甚至 湯姆 都 不再 做 了 .
At last , she solved the problem .	最 後 ,   她 解決 了 這個 問題 .
I visit him every other day .	我 每隔 一天 拜訪 他 .
He works from Monday to Friday .	他 周一 到 周五 上班 .   .
Tom knows that I used to live in Boston .	湯姆 知道 我 在 波士 頓 住 過 .
This is the house where I live .	这 是 我 住 的 房子 .
Birds fly .	鳥類 飛行 .
She is always dressed in black .	她 總 是 穿著 黑色 的 衣服 .
Excuse me for opening your letter by mistake .	對 不起 ,   我 錯 開 了 你 的 信 .
He was admitted without taking the exam .	他 承認 沒有 參 加考 試 .
He has been dead for ten years .	他 已經 死 了 十年 .
He broke the law .	他 触犯 了 法律 .
Tom likes it hot .	汤姆 喜欢 热 的 .
There is no denying the fact .	這 是 無 可否 認 的 事實 .
He loves her .	他 愛 她 .
Do you get up at six ?	你 六点 起床 吗 ？
I was born on October 10th , 1972 .	我 在 一九七二年 十月十日 出生 .
He flew a kite with his son .	他 和 他 的 儿子 放风筝 了 .
Did you go out last night ?	你 昨天晚上 出去 了 嗎 ？
She found her purse under the desk .	她 在 桌子 底下 找到 了 她 的 錢 包 .
He was killed by a single bullet .	他 被 一顆 子彈 打死 了 .
I am going to get rid of all this stuff .	我 要 摆脱 这 一切 .
I no longer wish to be your wife .	我 不想 做 你 老婆 了 .
Hi .	嗨 .
How is it going at school ?	学校 怎么样 ？
I am just a plain old office worker .	我 只是 一個 普通 的 老式 上班族 .
My name does not appear on the list .	我 的 名字 沒有 出現 在 名單 上 .
A hare raced with a tortoise .	兔子 和 乌龟 赛跑 .
The children were flying kites .	孩子 們 在 放 風箏 .
Is it true or did Tom make that story up ?	這 是 事實 還 是 Tom 編 的 故事 ？
You work as hard as he did at your age .	你 跟 他 在 你 這個 年紀時 一樣 努力 工作 .
I wonder what I should do today .	我 在 想 我 今天 该 干什么 .
That is my final answer .	这 是 我 的 最终 回答 .
I can not fall asleep .	我 睡不着 觉 .
Mind your manners .	规矩 点 .
You do not need to do this .	你 不 需要 做 这事 .
He left ten minutes ago .	他 十分 鐘 前 離開 了 .
Freedom is very , very important .	自由 非常 非常 重要 .
We stayed with them all through the summer .	我们 整个 夏天 都 和 他们 待 在 一起 .
I wish I were younger .	但 願 我 年 輕 一點 .
I overslept .	我 睡 过头 了 .
I do not know what I am going to do next .	我 不 知道 接下来 我 要 做 什么 .
She does not know how to play golf .	她 不 知道 怎麼 打 高爾夫 球 .
He slipped me a note .	他 悄悄地 递给 我 一张 纸条 .
Do not look into my room .	不要 往 我 房间 里 看 .
It is dangerous to fool around with electricity .	隨便 亂 弄 電是 危險 的 .
It is not that easy to learn a new language after fifty .	五十岁 以后 学 一门 新 的 语言 不是 那么 容易 .
Thanks for accepting my friend request on Facebook .	謝謝 你 接受 我 Facebook 的 交友 邀請 .
I have nothing to do with that crime .	这个 犯罪 和 我 一点 关系 都 没有 .
His house was struck by lightning .	他 的 房子 遭到 雷擊 .
I had a vision .	我 有 一个 愿景 .
It was not my fault .	那 不是 我 的 錯 .
Do you know of any good restaurant near here ?	你 知道 这儿 附近 有 什么 好 餐馆 吗 ?
Class does not begin until eight @-@ thirty .	八點半 開始 上課 .
I really enjoyed myself tonight .	今晚 我 玩 得 很 開心 .
That is a nice car you are driving .	你 開 的 那輛 車 很 不錯 .
This is one of the best restaurants I have ever eaten in .	这 是 我 吃 过 的 最好 的 餐馆 之一 .
He is always laughing .	他 总是 在 笑 .
Do not laugh at him for making a mistake .	不要 因为 他 犯 了 一个 错误 就 嘲笑 他 .
There is no need to hurry .	沒有 必要 著急 .
There is a hair in my soup .	我 的 湯 裡 有 一根 頭 髮 .
How about another round ?	再 來 一輪 怎麼樣 ？
I spent twelve hours on the train .	我 在 火车 上待 了 12 小时 .
Are you going or not ?	你 去 還 是 不 去 ？
Get it done as soon as possible .	盡快 把 它 完成 .
I need a stamp .	我 需要 一張 郵票 .
Is there anything else you want ?	还有 什么 想要 的 吗 ？
You &apos;d better take an umbrella with you .	你 最好 隨身 帶 把 傘 .
I will wait for you in front of the radio station .	我 會 在 電 台前 等 你 .
You are looking tired .	你 看起来 很困 了 .
The teacher assembled the students in the hall .	老師 在 禮堂 把 學生 們 集合 起來 .
It is hardly worth discussing .	這 幾乎 不 值得 討論 .
An army marches on its stomach .	胃 里 如同 千军万马 开过 .
He studied very hard .	他 学习 非常 努力 .
A fly can walk on the ceiling .	蒼蠅 能 在 天花板 上 走 .
She tried to lift the box , but found it impossible to do .	她 試著 舉起 箱子 ,   但 發現 不 可能 做到 .
Where have you been ?	你 一直 在 哪里 ？
All the signs are that she is getting better .	所有 迹象 表明 她 好 起来 了 .
He seldom goes to church .	他 很少 去 教堂 .
Do you want anything to eat ?	您 想 吃 点 什么 吗 ？
I like sports .	我 喜歡 運動 .
The accident seemed to have something to do with the heavy snow .	事故 似乎 和 厚厚的 积雪 有关 .
Work harder if you plan to succeed .	如果 你 計劃 要 成功 ,   就要 更加 努力 地 工作 .
He stretched out his arm to take the book .	他 伸长 了 手臂 为了 能 拿到 书 .
The teacher made me repeat the sentence .	老師 讓 我 重 複 了 這 句 話 .
It is easy to add 5 to 10 .	5 加 10 很 简单 .
We had lunch at a little coffee shop .	我們 在 一家 小 咖啡店 吃 午 飯 .
I have something to give you .	我 有些 东西 要 给 你 .
He studied abroad .	他 出国 留学 了 .
You can use this car .	你 可以 使用 這輛 車 .
I would like to come with you .	我 想 和 你 一起 走 .
I remember returning the book to the library .	我 记得 我 把 书 还 到 图书馆 了 .
There are noticeable differences between the two .	两者之间 有 显著 的 差别 .
The chicken is undercooked .	雞肉 還 不夠 熟 .
The bus stop is across the street .	公車 站牌 就 在 街 對 面 .
Do you like oranges ?	你 喜歡 橙子 嗎 ？
This store has a variety of spices .	這家 商店 有 各種 香料 .
I get the feeling you are trying to tell me something .	我 感觉 你 想 告诉 我 什么 事 .
She is not at home now .	她 現在 不 在家 .
There was no one in the room besides Tom and Mary .	除了 汤姆 和玛丽 ,   房间 里 没有 人 .
He held a package under his arm .	他 把 一個 包裹 挾 在 腋下 .
Tom made his servants eat in the dark .	汤姆 让 他 的 仆人 们 在 黑暗 下 进餐 .
Is your school far from your home ?	你 的 學校 離 你家 很 遠 嗎 ?
Do you know how to play mahjong ?	你 知道 怎麼 打 麻將 嗎 ？
I have lost my wallet .	我 掉 了 我 的 钱包 .
He substituted for his father .	子承父业 .
Tom said he &apos;d think about my suggestion .	汤姆 说 他 会 考虑 我 的 问题 .
I can not believe that .	我 不能 相信 .
I would do anything for Tom .	我会 为 汤姆 做 任何 事 .
You deserve to succeed .	你 的 成功 是 应得 的 .
Waitress , I would like to order .	服务生 ,   我 要 点菜 .
Please give me a call .	请 给 我 打电话 .
He is in the kitchen .	他 在 厨房 .
Where is the longest tunnel in Japan ?	日本 最长 的 隧道 在 哪里 ？
Tom and Mary are very hungry .	汤姆 和玛丽 很 饿 .
You must do it .	你 必須 去 做 .
Everybody but Tom knew he did not need to do that .	除了 汤姆 以外 任何人 都 知道 他 没 必要 这么 做 .
I know him by sight , but not by name .	我 知道 他 的 样子 ,   但 不 知道 他 的 名字 .
This river is safe to swim in .	在 这条 河里 游泳 很 安全 .
Perseverance , as you know , is the key to success .	就 像 你们 知道 的 那样 ,   毅力 是 成功 的 关键 .
He did the reverse of what I asked .	他 做 的 和 我 要求 的 相反 .
He may come tomorrow afternoon .	他 明天 下午 可能 會來 .
I stay at home on Sundays .	我 星期天 在家 .
You must take his age into account .	你 该 考虑 他 的 年纪 .
We need to make a plan .	我们 需要 做 计划 .
Father recovered his health .	爸爸 恢复 了 健康 .
This towel is so soft and fluffy . It feels good !	这 条 毛巾 蓬松 又 柔软 ,   特别 舒服 .
We must take into account the wishes of all the family in planning a trip .	筹划 旅行 的 时候 ,   我们 必须 考虑 到 全家人 的 意愿 .
What subject do you like best ?	你 最 喜歡 哪 一個 科目 ?
I do not think it is going to be easy to find Tom .	我 认为 ,   要 找到 汤姆 可不 容易 .
She really wants to lose weight .	她 真的 想 減肥 .
Let is take a look .	讓 我們 看看 吧 .
Tom kissed Mary on the cheek .	汤姆 亲 了 玛丽 脸颊 .
&quot; The phone is ringing . &quot; &quot; I will get it . &quot;	“ 电话响 了 .   ” “ 我 来 接 .   ”
If that were true , what would you do ?	如果 这 是 真的 ,   您 要 怎么办 ？
Tom follows orders .	汤姆 服从命令 .
You should not say that kind of thing when children are around .	孩子 们 在 旁边 的 时候 ,   你 不 应该 说 那种 事 .
Do you know the meaning of this word ?	您 知道 这个 词 的 意思 吗 ？
Could you tell me where Tom is ?	你 能 告訴 我 湯姆 在 哪裡 嗎 ？
Come on over to have a try .	你 過來 試試 看 .
Would you look after my cat ?	你 可以 照顧 一下 我 的 貓 嗎 ?
He asked me why I was laughing .	他 問 我 為 什麼 在 笑 .
Let is turn back .	我们 掉头 吧 ！
She made me a nice dress .	她 做 了 一件 好看 的 衣服 給 我 .
All the dogs are alive .	所有 狗 都 活着 .
Let is drive to the lake .	讓 我們 開車 到 湖邊 .
Clean your room .	打扫 一下 你 的 房间 .
It is easy to make friends , but hard to get rid of them .	交朋友 很 容易 ,   但 擺脫 他們 很 難 .
There are subtle differences between the two pictures .	这 两张 图片 之间 有 细致 的 差异 .
I am innocent .	我 是 清白 的 .
I am not the least bit worried .	我 一點 也 不 擔心 .
She was surprised that he showed up .	她 很 驚訝 他 出現 了 .
Tom came over to my house for dinner yesterday .	汤姆 昨天 来 我家 吃晚饭 .
Stay out of this .	别 插手 .
It is none of your business .	跟 你 没 半 毛钱 关系 .
Here is your tea .	这 是 你 的 茶 .
You will have to play it by ear at the interview .	在 面試 的 時候 你 必須 見 機 行事 .
It is hard to say what the weather will be like tomorrow .	很难说 明天 的 天气 将 会 怎样 .
He wants to work in a hospital .	他 想 在 醫院 工作 .
I am looking for books on Roman history .	我 在 找 关于 古罗马 历史 的 书 .
I am going to play tennis .	我 要 去 打 網球 .
I lost my ticket . What should I do ?	我 丢 了 我 的 票 .   我 該 怎麼 辦 ？
A stitch in time saves nine .	小洞 及時 補 ,   免遭 大洞 苦 .
Which do you like better , spring or fall ?	春天 和 秋天 ,   你 更 喜欢 哪个 ？
I saw the film in San Francisco last year .	我 去年 在 舊 金山 看 這部 電影 .
You should take care of your sick mother .	你 應該 照顧 你 生病 的 母親 .
Would you give me a hint ?	你 可以 给 我 一个 提示 吗 ？
I know that he was busy .	我 知道 他 忙 .
No matter where you go , I will follow you .	無論 你 去 哪裡 我 都 會 跟著 你 .
Tom asked me to tell you he did not plan on going to Boston with you .	汤姆 让 我 告诉 你 他 没有 计划 和 你 一起 去 波士顿 .
It is your business to take care of them .	照顾 他们 是 你 自己 的 事儿 .
One of them is a spy .	他們 其中 一 人 是 間諜 .
I demand an explanation for this mistake .	我 要求 說明 這個 錯誤 .
His house is across from mine .	他 的 房子 在 我 的 對面 .
Somehow I thought you &apos;d say that .	我 就 知道 你 会 这么 说 .
When will they arrive ?	他們 何時 抵達 ?
Would you like to leave a message ?	你 要 留言 嗎 ？
I will wait .	我 會 等 .
Tom could not help but smile .	汤姆 帮不了 ,   只能 笑笑 .
I do not care all that much .	我 不 那么 在意 .
She came from Canada to see me .	她 從 加拿大 來看 我 .
I am still hungry .	我 还 饿 着 呢 .
My father goes to work by bike .	我 父親 騎 自行 車 去 上班 .
I missed you .	我 想念 你 .
He says he will not come .	他 說 他 不 會 來 .
Both Tom and his wife grew up in Australia .	汤姆 和 他 的 妻子 都 在 澳大利亚 长大 .
&quot; You talk too much , &quot; he said .	“ 你 说 得 太 多 了 ,   ” 他 说道 .
I want an MP3 player !	我 想要 一个 MP3 播放器 ！
She lives in New York .	她 住 在 纽约 .
Do you really mean that ?	你 是 认真 的 吗 ？
The warrior is conscious of both his strength and his weakness .	戰士 知道 自己 的 力量 和 弱點 .
Smoking is harmful to your health .	吸烟 有害 健康 .
We just moved in .	我們 才 剛 搬 進來 .
I get a kick out of her cheerful personality .	她 開朗 的 個性 使 我 覺得 快樂 .
Scary , is not it ?	嚇 人 ,   不是 麼 ？
Tom just got back from Australia .	汤姆 刚 从 澳大利亚 回来 .
Do you go to a private school ?	你 在 私立学校 读书 吗 ？
I saw a light in the distance .	我 看见 远处 有 灯光 .
I know you are going to say no .	我 知道 你 要 說 不 .
I am not satisfied with my English ability .	我 不 滿意 我 的 英語 能力 .
Tell me what to do .	告訴 我 該 做 什麼 .
She has been sick for three weeks .	她 已經 病 了 三個 星期 了 .
What are you reading ?	你 在 看 什么 ？
We did not expect him to finish the task in so short a time .	我们 没指望 过 他 在 那么 短 的 时间 里 完成 工作 .
I was in Tokyo yesterday .	我 昨天 在 東京 .
I walked in the woods by myself .	我 自己 走進 了 樹林 裡 .
Go get your helmet .	戴 上 你 的 安全帽 .
I am fairly certain Tom lives on Park Street .	我 很 确定 汤姆 住 在 公园 街 .
The old man walked across the road carefully .	老人 小心翼翼 地 过 了 马路 .
Mary is going to help us tomorrow .	玛丽 明天 会来 帮 我们 .
That makes no sense at all .	这 没有 任何 意义 .
I do not think she is happy .	我 觉得 她 不 开心 .
You have got to apologize .	你 應該 道歉 .
They moved here three years ago .	他們 三年 前 搬到 了 這裡 .
You &apos;d better go home .	你 最好 回家 .
He was a very good skier when he was little .	他 年 輕 時 很 會 滑雪 .
How old is that painting ?	那幅 画 有 多少 年 了 ？
At that time , Tom was sitting between Mary and John .	在 那个 时候 ,   汤姆 正 坐在 玛丽和 约翰 中间 .
It was terrible .	真糟糕 .
Tom is the only guy in this class .	汤姆 是 这个 班级 里 唯一 的 男生 .
Perfect !	完美 ！
We have to put off the game till next Sunday .	我们 不得不 把 游戏 搁到 下 周日 了 .
Translate the passage word for word .	逐字 地 翻譯 這個 段落 .
I have neither seen nor heard of such a thing .	我 没 见 过 也 没 听 过 这样 的 事 .
No one is calling you a thief .	沒 人 叫 你 小偷 .
One must be responsible for one is conduct .	人 要 为 自己 的 行为 负责 .
I work for an oil company .	我 為 一家 石油 公司 工作 .
The Oscar ceremonies are Hollywood is biggest extravaganza .	奥斯卡 颁奖典礼 ,   是 好莱坞 最 盛大 的 活动 .
We enjoyed watching TV .	我們 喜歡 看電視 .
Did not you write a letter to him ?	你 沒 寫信 給 他 嗎 ？
I am so fat .	我 好 胖 哦 .
Mary is studying in her room .	瑪麗 在 她 的 房間 裡 讀 書 .
I just got your letter yesterday .	我 昨天 剛 收到 你 的 信 .
How hot is that ?	那個 東西 有 多 熱 ？
Is there life on Mars ?	火星 上 有 生命 嗎 ？
&quot; Shall I have him call you when he gets back ? &quot; &quot; Yes , please . &quot;	“ 等 他 回来 ,   我 要 让 他 给 你 打电话 吗 ？ ” “ 是 的 ,   谢谢 .   ”
You &apos;d better go to see your family doctor at once .	你 最好 立刻 去 看 你 的 家庭 醫生 .
Let me introduce you to him .	讓 我 把 你 介紹 給 他 .
Did you push the button ?	你 按了 按 鈕 嗎 ?
That was a month ago .	那 是 一個 月 前 了 .
Tom was very sick .	汤姆 很 虚弱 .
I should not have logged off .	我 不 應該 登出 .
They will be grateful .	他們 會 感激 .
Tom has no siblings .	Tom 沒有 兄弟 姊妹 .
Do you believe me ?	你 相信 我 吗 ？
I am very happy .	我 很 幸福 .
Beware of thieves .	注意 小偷 .
Are you Japanese ?	你 是 日本 人 嗎 ？
Some foods make you thirsty .	有些 食物 令人 口渴 .
He picked up a mirror and examined his tongue .	他 拿 了 面 镜子 细看 自己 的 舌头 .
Tom hung his jacket in the hall closet .	汤姆 把 他 的 夹克 挂 在 大厅 衣柜 里 .
We have to fix the date for our trip quickly .	我们 必须 快点 定下 旅游 日期 .
We are special .	我们 很 特别 .
The show was wonderful , but the tickets were too expensive .	这场 秀 棒极了 ,   但是 门票 太贵 了 .
Everybody knew Tom was good at French .	每个 人 都 知道 汤姆 的 法语 很 好 .
I think you are a really nice guy .	我 認為 你 真的 是 一個 好人 .
Would you like to go abroad ?	你 想 出 國 嗎 ?
All I want is my freedom .	我 只要 自由 .
I will study your report .	我 會 研究 你 的 報告 .
Did Tom not know what to do ?	汤姆 不 知道 该 做 什么 吗 ？
London , the capital of England , is on the Thames .	英国 首都 伦敦 在 泰晤士河畔 .
I ate curry last night .	我 昨晚 吃 了 咖喱 .
She married a rich man .	她 嫁给 了 一个 有钱人 .
Tell me what you did to Shounan .	告诉 我 你 对 湘南 做 了 什么 .
Tom was sitting alone at one of the tables near the door .	湯姆 獨自 坐在 門邊 一個 桌子 旁 .
I wondered if her story was true .	我 想 知道 她 的 故事 是否是 真的 .
You should not have done it .	你 不 應 該 做 的 .
Customs include food , celebrations and dancing .	风俗习惯 包括 食物 ,   庆祝 和 舞蹈 .
I am not afraid of dying .	我 不怕死 .
Our mother bought us a puppy .	我們 的 媽媽 買 了一 隻 小狗 給 我們 .
What will you be doing at this time tomorrow ?	你 明天 这个 时候 会 是 在 做 什么 ？
He is very influential in the world of medicine .	他 在 医学界 有 很大 的 影响力 .
Please speak more loudly .	請 說 大聲 一點 兒 .
I understood Tom is point of view .	我 理解 汤姆 的 观点 .
We have less than five minutes to evacuate the whole building .	我们 有 不到 五分钟 来 疏散 整栋 楼 的 人 .
I have never known anyone as hypocritical as you .	我 从来 没有 见 过 谁 像 你 这么 虚伪 的 .
He threw a rock into the pond .	他 扔 了 一塊 石頭 到 池塘 裡 .
I &apos;d like something to eat .	我 想 吃 点 东西 .
The road is very treacherous .	这 条路 挺 险恶 .
We want a new carpet .	我们 想要 一条 新 毯子 .
Tom did not write back to Mary .	汤姆 没 给 玛丽 写 回复 .
It is pitch black outside .	外面 一片 漆黑 .
I am not sure .	我 不 确定 .
You can use my car if you like .	如果 你 喜歡 你 可以 用 我 的 車 .
This is a stupid design .	这份 设计 很蠢 .
Nobody would listen to me .	沒 有人 會 聽 我 說 .
He arrived after the bell rang .	鈴 響 後 他 就 到 了 .
I said that .	我 是 那樣 說 的 .
Tom is in the living room .	汤姆 在 起居室 里 .
Nice to meet you .	很 高興 認識 你 .
I told Tom what to do .	我 告诉 了 汤姆 要 做 什么 .
When was Tom fired ?	湯姆 什麼 時候 被 解雇 的 ?
She is as busy as Tom .	她 和 湯姆 一樣 忙 .
Cities are exciting places , but also stressful .	城市 是 令人 興奮 的 地方 ,   但 也 會 讓 人 產生 壓力 .
It is never too late to make amends .	彌補 永遠 不 會 太晚 .
I can win this time .	我 這 回能 贏 .
Leave the room immediately .	馬 上 離開 房間 .
Turn left .	向左转 .
Jealousy made him do that .	嫉妒 讓 他 那樣 做 .
Who invented that ?	那 是 谁 发明 的 ？
Which translation of this book do you think is better , the French one or the English one ?	你 觉得 这 本书 的 哪个 译本 比较 好 ？ 法语 的 还是 英语 的 ？
I am the owner of this house .	我 是 這 房子 的 主人 .
I already talked to this student .	我 已经 和 这个 学生 谈 过 话 了 .
He is often absent from school .	他 经常 翘课 .
Why do not you stay a little while ?	你 為 什麼 不 留下 來 一會兒 ？
I will never forget your kindness .	我 永遠 不 會 忘記 你 的 親切 .
Have you taken your medicine yet ?	您 已经 吃 过 药 了 吗 ？
There is been a death in his family .	他 的 家 不幸 有人 身亡 .
I agreed with her .	我 同意 她 .
Do not move !	别动 ！
It was beginning to snow .	開始 下雪 了 .
This tunnel is twice as long as that one .	這條 隧道 是 那 條 的 兩倍 長 .
I think you should open an account here .	我 认为 你 应该 在 这里 开 个 账户 .
Do you ever dream about flying through the sky ?	你 曾經 夢想 在 天空 飛翔 嗎 ？
My left eyelid is twitching .	我 的 左 眼皮 在 跳 .
Do I have to do it right away ?	我 必須 立刻 做 嗎 ？
He has not written to us since last February .	他 從 去年 二月 開始 就 沒 寫信 給 我們 .
He is good at driving .	他 擅長 駕駛 .
He may have lost his way .	他 可能 迷路 了 .
We use a lot of water every day .	我們 每天 用 很多 的 水 .
I am playing volleyball now .	我 现在 在 打 排球 .
It is time for dinner .	吃 晚 飯 的 時間 到 了 .
I like mathematics .	我 喜歡 數學 .
That white building is a hospital .	那棟 白色 的 建築物 是 一家 醫院 .
At the time there were no native English speakers teaching in any public school .	當時 沒有 任何 以 英語 為 母語 的 人 在 公立 學校 任教 .
I am glad to have her company .	我 很 高興 有 她 的 陪伴 .
What did you do over the weekend ?	你 整個 週末 做 了 什麼 ?
You stink .	你 身上 发臭 了 .
Do you speak French ?	你 會 講 法語 嗎 ？
I was a high school student at that time .	我 当时 是 高中生 .
It is not important .	这 不 重要 .
I am exhausted .	困死 了 .
I would not sell that at any price .	任何 價格 我 都 不 會 賣 .
I am married .	我 结婚 了 .
I will think it over .	我 會 考慮 一下 .
His little brother is a famous soccer player .	他 弟弟 是 个 有名 的 足球 选手 .
I was scared all the time .	我 一直 很 害怕 .
Tell me what to do with it .	告诉 我 拿 它 做 什么 .
I could answer all the questions .	我 能 回答 所有 的 問題 .
There was a lot of snow last year .	去年 下 了 很多 雪 .
He asked after you .	他 問候 了 你 .
Which book is yours ?	哪 本 是 你 的 书 ？
Are you single ?	你 是 单身 吗 ？
Take a breath and hold it .	深 吸 一口 氣然 後 屏住 氣 .
If I had worked hard in my youth , I would be successful now .	如果 我 年 輕 的 時候 努力 工作 ,   我 現在 就 成功 了 .
Tom asked Mary to buy a gift for John .	汤姆 叫 玛丽 买 一份 礼物 给 约翰 .
I am really concerned about your future .	我 真的 很 關心 你 的 未來 .
You are blushing .	你 脸红 了 .
The dolphin and trainer communicated much better than we expected .	海豚 和 驯养 员 交流 得比 我们 所 期望 的 好得多 .
We can rest .	我们 可以 休息 .
I need it as quickly as possible .	我 尽快 需要 .
The strike affected the nation is economy .	罢工 影响 了 国家 经济 .
What are you doing down there ?	你 在 那里 干什么 ？
Prices are going up .	物价上涨 了 .
He is very good at playing guitar .	他 很 擅長 彈 吉他 .
Tom hid himself under the table .	Tom 躲 在 桌子 底下 .
She came here as soon as she heard it .	她 一來 這裡 就 聽到 了 .
He made a clean break with them .	他 跟 他们 干脆 地 断绝来往 了 .
Could you recommend another hotel ?	你 能 推薦 另一家 旅館 嗎 ？
Tom is drinking some water .	汤姆 在 喝 点 水 .
How about going to see a movie tonight ?	今晚 看 电影 怎么样 ？
We got behind the car and pushed .	我們 到 車子 後 面 推車 .
You do not need to help me .	你 不用 帮 我 .
She stirred her coffee with a teaspoon .	她 用 茶匙 搅 她 的 咖啡 .
He lived in the center of London .	他 住 在 倫敦 市中心 .
Not a single person arrived late .	沒有 一個 人 遲 到 .
He will be back in a second .	他 很快 就 会 回来 .
Countless stars were twinkling in the sky .	无数 星星 在 天上 闪烁 .
She was able to answer whatever was asked .	不管 问 了 什么 ,   她 都 能 回答 .
I will give you whatever you want .	我 會 給 你 任何 你 想要 的 東西 .
She planted roses in the garden .	她 在 花園 裡 種 了 玫瑰 .
It is rude of him not to give me a call .	他 不 打电话 给 我 真是 无礼 .
I will never forget going to Hawaii with her .	我 永远 不会 忘记 那次 跟 她 一起 去 夏威夷 .
My plans failed one after the other .	我 的 計劃 一個 接 一個 的 失敗 了 .
He said , &quot; I want to be a doctor . &quot;	他 說 ： 「 我 想成 為 醫生 .   」
Open your mouth and close your eyes .	张开嘴巴 闭上眼睛 .
Moderate exercise is necessary for good health .	適度 運動 對 身體 健康 是 必要 的 .
Underage drinking is a crime .	未满 年龄 饮酒 是 罪行 .
We bought a pound of tea .	我們 買 了 一磅 的 茶 .
I hope Tom appreciates it .	我 希望 汤姆 欣赏 它 .
Could you bring me some water ?	能 给 我 带 一点 水 来 吗 ？
Can you come for dinner tonight ?	你 今天 晚上 能 來 吃 飯 嗎 ？
Where can I take a bath ?	我 能 在 哪裡 洗澡 ？
That is an interesting piece of information .	这 是 条 有趣 的 信息 .
I have already finished reading this book .	我 已經 讀完 了 這 本書 .
He threw a piece of meat to a dog .	他 朝 狗 扔 了 一块 肉 .
The family is eating breakfast on the balcony .	一家人 在 陽 臺 上 吃 早 飯 .
I will see you again this afternoon .	今天下午 我 會 再 見 到 你 .
Slight inattention can cause a great disaster .	失之毫厘 ,   谬之千里 .
I do not want to go alone .	我 不想 独自 前往 .
You should not keep them waiting so long .	你 不该 让 他们 等 那么 久 .
Japan is not rich in natural resources .	日本 並 不 擁有 豐富 的 自然 資源 .
Tom was very scared .	湯姆 非常 害怕 .
Do you think Tom is having fun ?	你 認為 湯姆 玩 得 高興 嗎 ？
He had no luck in finding work .	他 不幸 找 不到 工作 .
Tom said he &apos;d never been to Boston .	汤姆 说 他 从来 没 去过 波士顿 .
What is your favorite home @-@ cooked food ?	你 最 喜歡 的 家常菜 是 什麼 ？
I am thinking of going to Europe .	我 正在 考慮 去 歐洲 .
I remember mailing the letter .	我 記 得 寄 了 信 .
He failed to answer the letter .	他 沒有 回信 .
I have an urgent message from Tom .	我 收到 汤姆 的 一条 紧急 消息 .
How is your family ?	你 家里人 都 还好 吗 ？
There are too many people there .	那裡 太 多 人 了 .
Although old , he is still very much alive .	虽然 上 了 年纪 , 他 依旧 充满活力 .
Those two are exactly alike .	那 兩個 是 一模 一樣 的 .
Tom says he is not sure if he can do that , but he says he will try .	汤姆 说 他 不 确定 是否 能 做到 ,   但是 他 说 会 尝试 .
Kabul is the capital of Afghanistan .	喀布尔 是 阿富汗 的 首都 .
I wish you could have been there .	要是 你 能 在 那裡 就 好 了 .
